,app_id,attemptId,completionTime-0,completionTime-1,completionTime-2,inputBytes-0,inputBytes-1,inputBytes-2,numActiveTasks,numCompleteTasks,numFailedTasks,shuffleReadBytes-0,shuffleReadBytes-1,shuffleReadBytes-2,shuffleWriteBytes-0,shuffleWriteBytes-1,shuffleWriteBytes-2,stageId,status
172,app-20170606040529-0039,0,,,11.043,,,0.0,0,200,0,,,80212792.0,,,0.0,2,COMPLETE
173,app-20170602155923-0378,0,,4.621,,,5718582.0,,0,2,0,,0.0,,,4201380.0,,1,COMPLETE
174,app-20170602155923-0378,0,4.462,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
175,app-20170602155923-0378,0,,,7.789,,,0.0,0,200,0,,,4205370.0,,,0.0,2,COMPLETE
176,app-20170602061155-0160,0,,38.296,,,1533065387.0,,0,12,0,,0.0,,,1181182732.0,,1,COMPLETE
177,app-20170602061155-0160,0,11.857,,,239192537.0,,,0,2,0,0.0,,,127737658.0,,,0,COMPLETE
178,app-20170602061155-0160,0,,,71.188,,,0.0,0,200,0,,,1308920390.0,,,0.0,2,COMPLETE
179,app-20170609055827-0171,0,,3.601,,,2855193.0,,0,2,0,,0.0,,,2110997.0,,1,COMPLETE
180,app-20170609055827-0171,0,3.464,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
181,app-20170609055827-0171,0,,,5.819,,,0.0,0,200,0,,,2114987.0,,,0.0,2,COMPLETE
182,app-20170609075631-0242,0,,,11.886,,,0.0,0,200,0,,,195181035.0,,,0.0,2,COMPLETE
183,app-20170606011556-1234,0,9.11,,,479801578.0,,,0,4,0,0.0,,,253026735.0,,,0,COMPLETE
184,app-20170606011556-1234,0,,11.654,,,96933969.0,,0,2,0,,0.0,,,70123241.0,,1,COMPLETE
185,app-20170606011556-1234,0,,,26.586,,,0.0,0,200,0,,,323149976.0,,,0.0,2,COMPLETE
186,app-20170609075631-0242,0,7.446,,,359551313.0,,,0,3,0,0.0,,,191625683.0,,,0,COMPLETE
187,app-20170602162830-0403,0,,76.095,,,3865016361.0,,0,29,0,,0.0,,,2858252785.0,,1,COMPLETE
188,app-20170609034247-0055,0,5.69,,,118998996.0,,,0,2,0,0.0,,,63514715.0,,,0,COMPLETE
189,app-20170602162830-0403,0,,,14.504,,,0.0,0,200,0,,,2858252785.0,,,0.0,2,COMPLETE
190,app-20170602153002-0352,0,,84.657,,,3087316780.0,,0,23,0,,0.0,,,2366016746.0,,1,COMPLETE
191,app-20170602153002-0352,0,9.716,,,479801578.0,,,0,4,0,0.0,,,256549712.0,,,0,COMPLETE
192,app-20170602120200-0274,0,,,11.984,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
193,app-20170602153002-0352,0,,,130.597,,,0.0,0,200,0,,,2622566458.0,,,0.0,2,COMPLETE
194,app-20170602113228-0260,0,,82.879,,,2310171958.0,,0,18,0,,0.0,,,1770564241.0,,1,COMPLETE
195,app-20170606021623-1255,0,,7.85,,,5718582.0,,0,2,0,,0.0,,,4666360.0,,1,COMPLETE
196,app-20170606021623-1255,0,9.173,,,479801578.0,,,0,4,0,0.0,,,256543769.0,,,0,COMPLETE
197,app-20170606021623-1255,0,,,26.505,,,0.0,0,200,0,,,261210129.0,,,0.0,2,COMPLETE
198,app-20170609080121-0248,0,,2.621,,,584.0,,0,2,0,,0.0,,,718.0,,1,COMPLETE
